,values,values_model1,error_model1,values_model2,error_model2
0,979.6643904720663,979.6643904720663,0.0,989.6643904720663,10.0
1,189.5738658444951,189.51109742591532,-0.06276841857976478,199.5536484336315,9.97978258913642
2,483.7735463096444,483.6482637796189,-0.12528253002551537,493.73271829790104,9.959171988256628
3,165.8536536758377,165.66611379945155,-0.187539876386154,175.79182427229952,9.938170596461816
4,10.180822383938693,9.93128436411015,-0.2495380198285435,20.09760321212503,9.916780828186337
5,237.87517257520275,237.56389803246992,-0.31127454273283206,247.7701776882426,9.895005113039844
6,403.1873370680834,402.8145900202967,-0.3727470477867314,413.06018296373185,9.872845895648425
7,431.1307377242357,430.69678456615713,-0.43395315807856605,440.98104335973096,9.85030563549526
8,886.5051551042046,886.0102645870155,-0.4948905171891056,896.3325419109653,9.827386806760728
9,635.6772638808419,635.1217070915596,-0.5555567892822637,645.481355779004,9.804091898162142
10,434.4416552185302,433.8257055593355,-0.6159496591946549,444.2220786313224,9.780423412792231
11,987.9976996098128,987.3216327772892,-0.6760668325235883,997.7540834777708,9.756383867957993
12,614.2243316266856,613.4884255909715,-0.7359060357141516,623.9563074217041,9.731975795018457
13,322.6629649849716,321.86749996882645,-0.7954650161451582,332.3701667241936,9.707201739222
14,691.3108812107946,690.4561396685809,-0.8547415422136737,700.9929454703378,9.682064259543154
15,495.6999226830051,494.786189279587,-0.9137334034181208,505.356488611524,9.656565928518887
16,881.1676940681722,880.1952556577313,-0.9724384104408728,890.7984034002568,9.63070933208462
17,896.5112620633212,895.4804076680923,-1.0308543952288574,906.1157591327305,9.604497069409376
18,367.35040012116957,366.26142091009655,-1.088979211073024,376.92833187390005,9.577931752730478
19,562.3390508601441,561.1922401274568,-1.1468107326872996,571.8900668673322,9.551016007188082
20,265.7734440463054,264.5690971900201,-1.2043468562853263,275.2971965169647,9.523752470659247
21,626.6367517425499,625.3751662428933,-1.2615854996565758,636.1328955361407,9.496143793590818
22,992.3469623196747,991.0284377174337,-1.318524602241041,1001.8151549585077,9.468192638832988
23,832.5885178221839,831.2133556969811,-1.3751621252027917,842.0284195036553,9.439901681471383
24,366.4099003028253,364.97840425132324,-1.4314960515020516,375.8211739114846,9.411273608659315
25,95.38035199349248,93.8928276075265,-1.4875243859659832,104.76266311294209,9.38231111944961
26,966.6819873735142,965.1387422181554,-1.543245155358818,976.0350042981398,9.35301692462565
27,389.58477867772024,387.9861222692703,-1.5986564084499264,398.9081724242526,9.32339374653236
28,293.3808932668152,291.727137050734,-1.6537562160812058,302.6743375857218,9.293444318906609
29,316.3353929055676,314.6268502343347,-1.7085426712328626,325.59856429227483,9.263171386707256
30,489.92336663884674,488.16035274975854,-1.7630138890881994,499.1559443447917,9.232577705944948
31,956.7513987490006,954.9342307419038,-1.817168007096825,965.953064792512,9.201666043511409
32,986.6223213334914,984.7513181484544,-1.8710031850370115,995.7927605104998,9.170439177008348
33,296.12672735239556,294.2022097473194,-1.9245176050761756,305.2656272469717,9.138899894576127
