RUL_true,RUL_pred_RandomForest,error_RandomForest,RUL_pred_GradientBoosting,error_GradientBoosting,RUL_pred_XGBoost,error_XGBoost,RUL_pred_ElasticNet,error_ElasticNet,RUL_pred_LSTM_1,error_LSTM_1,RUL_pred_LSTM_2,error_LSTM_2
3.0,6.075186649083764,3.075186649083764,4.275744595491193,1.2757445954911928,8.833784,5.833784103393555,18.72302696269098,15.72302696269098,8.608924,5.60892391204834,32.535934,29.535934448242188
0.0,3.7467065425978734,3.7467065425978734,5.126003618111671,5.126003618111671,6.2257357,6.225735664367676,22.5041485489281,22.5041485489281,5.1707377,5.1707377433776855,15.369657,15.369656562805176
32.0,32.8345531004407,0.8345531004407007,29.445438746392497,-2.5545612536075026,24.131151,-7.86884880065918,36.093015340107,4.0930153401070015,26.773453,-5.2265472412109375,51.028873,19.028873443603516
6.0,4.8286968502852226,-1.1713031497147774,4.4265878024939065,-1.5734121975060935,5.968114,-0.03188610076904297,34.97981820392809,28.97981820392809,3.5611937,-2.4388062953948975,6.5774126,0.5774126052856445
6.0,4.621437792352236,-1.3785622076477644,5.751467680063999,-0.24853231993600122,3.97358,-2.0264201164245605,19.788181854753724,13.788181854753724,3.4287333,-2.5712666511535645,6.5414,0.5413999557495117
0.0,9.434176745083564,9.434176745083564,14.206387829343846,14.206387829343846,14.551269,14.551268577575684,16.205982138324693,16.205982138324693,8.016945,8.016944885253906,30.189089,30.189088821411133
10.0,15.509546717171718,5.509546717171718,13.809474617507702,3.8094746175077017,9.497443,-0.5025568008422852,36.754940328986045,26.754940328986045,13.0357,3.0356998443603516,46.159832,36.15983200073242
17.0,17.33624401859366,0.3362440185936606,15.922974999704069,-1.0770250002959312,18.021679,1.0216789245605469,16.992095781090146,-0.00790421890985371,12.610994,-4.389005661010742,31.840322,14.840322494506836
56.0,50.08136326059649,-5.91863673940351,51.51684794758912,-4.48315205241088,48.071526,-7.928474426269531,44.03319609209678,-11.96680390790322,41.155907,-14.844093322753906,62.77451,6.774509429931641
3.0,50.259767473075236,47.259767473075236,55.83219147614855,52.83219147614855,57.98749,54.987491607666016,56.229089873187654,53.229089873187654,50.79905,47.799049377441406,90.60778,87.60778045654297
11.0,7.5942499445138845,-3.4057500554861155,1.9241052321172603,-9.07589476788274,5.577148,-5.422852039337158,22.710773699229648,11.710773699229648,10.27928,-0.7207202911376953,28.500065,17.500064849853516
22.0,20.063468275604546,-1.9365317243954543,22.976246065174728,0.9762460651747276,21.193794,-0.8062057495117188,36.3286237380517,14.328623738051697,10.891344,-11.10865592956543,22.005909,0.005908966064453125
37.0,35.81134892983926,-1.1886510701607378,36.42672811046245,-0.5732718895375513,38.86484,1.8648414611816406,26.53982172184041,-10.460178278159589,25.999765,-11.000234603881836,41.764523,4.764522552490234
53.0,21.049630739512768,-31.950369260487232,23.10444527178223,-29.89555472821777,22.11018,-30.889820098876953,12.385193165369046,-40.614806834630954,10.202426,-42.797574043273926,35.84294,-17.157058715820312
3.0,15.919877718750543,12.919877718750543,15.218319723589605,12.218319723589605,14.120345,11.120345115661621,22.637772242135107,19.637772242135107,16.010326,13.010326385498047,30.709448,27.709447860717773
45.0,42.106744092352365,-2.893255907647635,43.80750920649812,-1.1924907935018823,40.356716,-4.643283843994141,41.61711575564871,-3.3828842443512883,41.514324,-3.485675811767578,64.44015,19.440147399902344
4.0,9.299436507936509,5.299436507936509,8.060884381906806,4.060884381906806,9.841893,5.841893196105957,32.39989685732258,28.39989685732258,10.449105,6.449105262756348,44.077183,40.07718276977539
44.0,33.37871805090283,-10.621281949097167,38.03516997034239,-5.964830029657612,25.928764,-18.07123565673828,47.261380677454824,3.2613806774548237,29.75155,-14.248449325561523,52.391666,8.391666412353516
32.0,38.48867938641298,6.488679386412983,36.000240119416134,4.000240119416134,35.66799,3.6679916381835938,33.00588258784208,1.0058825878420805,35.514175,3.5141754150390625,71.825905,39.825904846191406
34.0,37.65428772657261,3.654287726572612,37.5746830390792,3.574683039079197,35.733734,1.733734130859375,42.54690327388275,8.546903273882748,28.10062,-5.899379730224609,39.853413,5.853412628173828
78.0,69.43646059988666,-8.563539400113342,52.403409891504744,-25.596590108495256,55.992256,-22.00774383544922,31.195699799796742,-46.80430020020326,23.02605,-54.97394943237305,76.94756,-1.0524368286132812
50.0,53.28021297163449,3.2802129716344908,42.679300124026355,-7.320699875973645,44.882553,-5.1174468994140625,50.02178676693539,0.021786766935392166,23.33354,-26.666460037231445,59.56751,9.567508697509766
2.0,1.9884867497518426,-0.011513250248157414,3.565901962925447,1.5659019629254471,3.9977615,1.9977614879608154,4.823214176281063,2.8232141762810627,3.6709974,1.6709973812103271,9.327403,7.3274030685424805
8.0,8.068920718237623,0.06892071823762258,13.250337873827474,5.250337873827474,12.068634,4.068634033203125,27.844395030591066,19.844395030591066,18.912537,10.91253662109375,63.720287,55.72028732299805
