,price,price_model1,price_model2,error_model1,error_model2
30958,1515.0,1550.0,1629.8676343979728,-35.0,-114.86763439797278
12728,1649.0,1709.0,1820.0174236393993,-60.0,-171.01742363939934
22281,1159.0,1374.0,1302.6755827672087,-215.0,-143.67558276720865
14512,1035.0,1145.0,1059.4844302277502,-110.0,-24.48443022775018
89418,1061.0,1382.0,1126.5637203345855,-321.0,-65.56372033458547
59676,1305.0,1335.0,1527.3731839019954,-30.0,-222.3731839019954
74462,2300.0,1250.0,1991.1767279960084,1050.0,308.82327200399163
9306,1812.0,1882.6666666666667,2000.584017363129,-70.66666666666674,-188.58401736312908
6355,1425.0,1695.0,1754.6408354743658,-270.0,-329.64083547436576
42174,1205.0,818.3333333333334,1172.6262855088878,386.66666666666663,32.373714491112196
41202,1515.0,1485.0,1344.2086574100902,30.0,170.79134258990985
69025,1480.0,1277.0,1321.058326613045,203.0,158.94167338695502
82441,1419.0,1399.0,1605.4913344689094,20.0,-186.49133446890937
95509,1366.0,1370.5,1417.679662274984,-4.5,-51.67966227498391
26038,1300.0,1368.5,1649.0343194144177,-68.5,-349.0343194144177
89895,2571.0,1170.0,1724.2366918842877,1401.0,846.7633081157123
12516,1200.0,1273.0,754.3751630153503,-73.0,445.62483698464973
87898,1340.0,1270.0,1250.2157954357851,70.0,89.78420456421486
22197,856.0,868.5,1163.408822457545,-12.5,-307.40882245754506
50905,900.0,875.0,911.3063631373755,25.0,-11.306363137375456
32343,2400.0,875.0,1922.5220129735535,1525.0,477.4779870264465
34614,575.0,1292.5,1265.7912728058197,-717.5,-690.7912728058197
81500,1169.0,1144.5454545454545,967.3045356481887,24.454545454545496,201.69546435181132
97271,835.0,800.0,1276.0597482402343,35.0,-441.0597482402343
84169,615.0,550.0,962.0421534496631,65.0,-347.04215344966315
79731,1090.0,1725.0,1532.2336915916376,-635.0,-442.2336915916376
41538,2215.0,2188.3333333333335,1608.7300909390046,26.666666666666515,606.2699090609954
86694,2300.0,1750.0,2460.7653158201506,550.0,-160.7653158201506
70871,1575.0,900.0,1400.4031609457047,675.0,174.5968390542953
77065,1980.0,850.0,2151.144863084705,1130.0,-171.14486308470487
83028,1370.0,1799.0,1942.5383577129614,-429.0,-572.5383577129614
5666,814.0,580.0,1325.3172720019447,234.0,-511.31727200194473
87924,1432.0,1455.0,1852.6581423307414,-23.0,-420.6581423307414
62279,1250.0,1230.0,1436.4197163147342,20.0,-186.41971631473416
27309,560.0,560.0,1643.8264264898094,0.0,-1083.8264264898094
20870,1396.0,1487.6666666666667,1542.3460766069338,-91.66666666666674,-146.34607660693382
43598,2448.0,2150.0,2562.3441080098314,298.0,-114.34410800983142
17935,1185.0,1185.0,946.5350745899132,0.0,238.46492541008683
36538,505.0,549.9333333333333,916.1834893591679,-44.93333333333328,-411.1834893591679
51035,900.0,1315.0,3197.966846085019,-415.0,-2297.966846085019
71030,1390.0,1723.0,1322.137900458384,-333.0,67.86209954161609
26465,1429.0,1377.3333333333333,1413.0292948320525,51.66666666666674,15.970705167947472
35853,2115.0,2115.0,1996.5534588918863,0.0,118.4465411081137
76952,800.0,734.0,668.9898801281425,66.0,131.01011987185746
45022,2725.0,1068.0,1500.1064614995703,1657.0,1224.8935385004297
92736,774.0,769.0,284.0160440060908,5.0,489.9839559939092
64289,1725.0,1662.5,1422.7710813092503,62.5,302.22891869074965
49807,1253.0,1282.4117647058824,1216.9505097890228,-29.411764705882433,36.04949021097718
