,RUL,RUL_se,error_se,RUL_ae,error_ae,RUL_quad_quad_0.01,error_quad_quad_0.01
0,110.0,62.5825309753418,-47.4174690246582,71.33717346191406,-38.66282653808594,90.12803649902344,-19.871963500976562
1,109.0,58.80766296386719,-50.19233703613281,60.98274612426758,-48.01725387573242,89.71044158935547,-19.28955841064453
2,108.0,57.6083984375,-50.3916015625,52.557979583740234,-55.442020416259766,89.86058044433594,-18.139419555664062
3,107.0,68.95711517333984,-38.042884826660156,67.21703338623047,-39.78296661376953,96.82115173339844,-10.178848266601562
4,106.0,70.81936645507812,-35.180633544921875,76.34546661376953,-29.65453338623047,98.97463989257812,-7.025360107421875
5,105.0,72.0472640991211,-32.952735900878906,80.01922607421875,-24.98077392578125,96.72074890136719,-8.279251098632812
6,104.0,77.08324432373047,-26.91675567626953,86.05364227294922,-17.94635772705078,98.01942443847656,-5.9805755615234375
7,103.0,71.90409088134766,-31.095909118652344,75.49414825439453,-27.50585174560547,95.48806762695312,-7.511932373046875
8,102.0,63.643524169921875,-38.356475830078125,67.3134536743164,-34.686546325683594,89.13130950927734,-12.868690490722656
9,101.0,62.409820556640625,-38.590179443359375,65.81438446044922,-35.18561553955078,88.47441101074219,-12.525588989257812
10,100.0,59.337791442871094,-40.662208557128906,62.03315353393555,-37.96684646606445,89.44832611083984,-10.551673889160156
11,99.0,64.08158874511719,-34.91841125488281,71.48050689697266,-27.519493103027344,91.83113098144531,-7.1688690185546875
12,98.0,64.53265380859375,-33.46734619140625,74.98151397705078,-23.01848602294922,92.79373931884766,-5.206260681152344
13,97.0,71.36585998535156,-25.634140014648438,83.84809875488281,-13.151901245117188,95.92109680175781,-1.0789031982421875
14,96.0,72.96515655517578,-23.03484344482422,84.84102630615234,-11.158973693847656,97.72928619384766,1.7292861938476562
15,95.0,72.38079833984375,-22.61920166015625,79.96678924560547,-15.033210754394531,95.61695861816406,0.6169586181640625
16,94.0,75.96537780761719,-18.034622192382812,83.47832489013672,-10.521675109863281,97.83161926269531,3.8316192626953125
17,93.0,69.65013122558594,-23.349868774414062,71.6798095703125,-21.3201904296875,95.0125503540039,2.0125503540039062
18,92.0,63.44712448120117,-28.552875518798828,66.91341400146484,-25.086585998535156,89.55034637451172,-2.4496536254882812
19,91.0,58.75542449951172,-32.24457550048828,63.865352630615234,-27.134647369384766,86.17840576171875,-4.82159423828125
20,90.0,53.149105072021484,-36.850894927978516,56.614288330078125,-33.385711669921875,83.35120391845703,-6.648796081542969
21,89.0,59.21590805053711,-29.78409194946289,67.78253936767578,-21.21746063232422,88.01721954345703,-0.9827804565429688
22,88.0,60.30033874511719,-27.699661254882812,74.20845031738281,-13.791549682617188,91.7444839477539,3.7444839477539062
23,87.0,62.388328552246094,-24.611671447753906,75.288818359375,-11.711181640625,92.38130950927734,5.381309509277344
24,86.0,64.57942199707031,-21.420578002929688,77.64303588867188,-8.356964111328125,93.28364562988281,7.2836456298828125
25,85.0,64.77886962890625,-20.22113037109375,74.9756088256836,-10.024391174316406,92.36526489257812,7.365264892578125
26,84.0,65.3014907836914,-18.698509216308594,76.30657196044922,-7.693428039550781,93.01689910888672,9.016899108886719
27,83.0,56.38958740234375,-26.61041259765625,63.00788116455078,-19.99211883544922,87.87382507324219,4.8738250732421875
28,82.0,52.41241455078125,-29.58758544921875,52.683555603027344,-29.316444396972656,82.29095458984375,0.29095458984375
29,81.0,52.02465057373047,-28.97534942626953,54.0118408203125,-26.9881591796875,81.82902526855469,0.8290252685546875
30,80.0,51.07286071777344,-28.927139282226562,52.6087532043457,-27.391246795654297,82.42668914794922,2.4266891479492188
31,79.0,48.29689025878906,-30.703109741210938,50.619022369384766,-28.380977630615234,79.8968734741211,0.8968734741210938
32,78.0,51.673988342285156,-26.326011657714844,55.032352447509766,-22.967647552490234,81.02427673339844,3.0242767333984375
33,77.0,53.110321044921875,-23.889678955078125,60.75178527832031,-16.248214721679688,85.33978271484375,8.33978271484375
34,76.0,46.657920837402344,-29.342079162597656,52.71162414550781,-23.288375854492188,80.76805877685547,4.768058776855469
35,75.0,46.729103088378906,-28.270896911621094,47.315792083740234,-27.684207916259766,79.12187957763672,4.121879577636719
36,74.0,52.10564422607422,-21.89435577392578,53.06538772583008,-20.934612274169922,82.60951232910156,8.609512329101562
37,73.0,57.564369201660156,-15.435630798339844,63.634117126464844,-9.365882873535156,87.29446411132812,14.294464111328125
38,72.0,58.07444763183594,-13.925552368164062,69.34164428710938,-2.658355712890625,90.34712219238281,18.347122192382812
39,71.0,54.2039909362793,-16.796009063720703,65.29386138916016,-5.706138610839844,87.43386840820312,16.433868408203125
40,70.0,51.71314239501953,-18.28685760498047,59.493507385253906,-10.506492614746094,84.03884887695312,14.038848876953125
41,69.0,50.9948616027832,-18.005138397216797,59.64046859741211,-9.35953140258789,83.71963500976562,14.719635009765625
42,68.0,52.00666046142578,-15.993339538574219,57.64991760253906,-10.350082397460938,83.5310287475586,15.531028747558594
43,67.0,50.608863830566406,-16.391136169433594,55.00603103637695,-11.993968963623047,82.57821655273438,15.578216552734375
44,66.0,49.93762969970703,-16.06237030029297,54.82133102416992,-11.178668975830078,82.20053100585938,16.200531005859375
45,65.0,50.72007751464844,-14.279922485351562,53.23161697387695,-11.768383026123047,82.15570831298828,17.15570831298828
46,64.0,48.74513626098633,-15.254863739013672,48.60540008544922,-15.394599914550781,80.58918762207031,16.589187622070312
47,63.0,51.14672088623047,-11.853279113769531,51.797584533691406,-11.202415466308594,81.00646209716797,18.00646209716797
48,62.0,49.15287780761719,-12.847122192382812,56.2636604309082,-5.736339569091797,80.88482666015625,18.88482666015625
49,61.0,49.484336853027344,-11.515663146972656,54.868507385253906,-6.131492614746094,80.00546264648438,19.005462646484375
50,60.0,44.446598052978516,-15.553401947021484,46.669803619384766,-13.330196380615234,76.94541931152344,16.945419311523438
51,59.0,39.0003547668457,-19.999645233154297,38.4102668762207,-20.589733123779297,70.17294311523438,11.172943115234375
52,58.0,40.91590881347656,-17.084091186523438,37.761966705322266,-20.238033294677734,68.00868225097656,10.008682250976562
53,57.0,37.2877197265625,-19.7122802734375,35.109073638916016,-21.890926361083984,64.3011245727539,7.301124572753906
54,56.0,37.615970611572266,-18.384029388427734,32.54603958129883,-23.453960418701172,61.3728141784668,5.372814178466797
55,55.0,38.52860641479492,-16.471393585205078,34.284725189208984,-20.715274810791016,61.777469635009766,6.777469635009766
56,54.0,45.045738220214844,-8.954261779785156,41.992435455322266,-12.007564544677734,67.09654235839844,13.096542358398438
57,53.0,46.452880859375,-6.547119140625,46.82664108276367,-6.173358917236328,70.9627685546875,17.9627685546875
58,52.0,43.1010856628418,-8.898914337158203,47.32508850097656,-4.6749114990234375,70.74931335449219,18.749313354492188
59,51.0,37.60309600830078,-13.396903991699219,40.80878829956055,-10.191211700439453,65.88890075683594,14.888900756835938
60,50.0,30.13127326965332,-19.86872673034668,29.67502784729004,-20.32497215270996,53.73957061767578,3.7395706176757812
61,49.0,31.8612117767334,-17.1387882232666,29.669994354248047,-19.330005645751953,50.43803024291992,1.4380302429199219
62,48.0,36.66148376464844,-11.338516235351562,32.15494155883789,-15.84505844116211,51.93724060058594,3.9372406005859375
63,47.0,32.28844451904297,-14.711555480957031,30.8878173828125,-16.1121826171875,50.22745132446289,3.2274513244628906
64,46.0,33.020774841308594,-12.979225158691406,31.269214630126953,-14.730785369873047,49.80344009399414,3.8034400939941406
65,45.0,42.26209259033203,-2.7379074096679688,40.964603424072266,-4.035396575927734,59.695220947265625,14.695220947265625
66,44.0,45.002471923828125,1.002471923828125,46.464515686035156,2.4645156860351562,68.33168029785156,24.331680297851562
67,43.0,34.49611282348633,-8.503887176513672,38.12105941772461,-4.878940582275391,63.540199279785156,20.540199279785156
68,42.0,24.558889389038086,-17.441110610961914,25.65932846069336,-16.34067153930664,49.7628059387207,7.762805938720703
69,41.0,21.35377311706543,-19.64622688293457,19.777631759643555,-21.222368240356445,39.525569915771484,-1.4744300842285156
70,40.0,25.82587432861328,-14.174125671386719,23.169700622558594,-16.830299377441406,38.98569107055664,-1.0143089294433594
71,39.0,31.395349502563477,-7.604650497436523,28.895606994628906,-10.104393005371094,44.01704788208008,5.017047882080078
72,38.0,31.399459838867188,-6.6005401611328125,30.936038970947266,-7.063961029052734,46.7940788269043,8.794078826904297
73,37.0,29.2786808013916,-7.721319198608398,30.063602447509766,-6.936397552490234,46.66715621948242,9.667156219482422
74,36.0,24.054109573364258,-11.945890426635742,24.7470760345459,-11.252923965454102,42.43404769897461,6.434047698974609
75,35.0,20.38862419128418,-14.61137580871582,20.899845123291016,-14.100154876708984,37.37174606323242,2.371746063232422
76,34.0,23.878658294677734,-10.121341705322266,23.07876205444336,-10.92123794555664,39.0156364440918,5.015636444091797
77,33.0,23.629323959350586,-9.370676040649414,23.38368034362793,-9.61631965637207,40.74857711791992,7.748577117919922
78,32.0,26.255483627319336,-5.744516372680664,26.84037208557129,-5.159627914428711,42.70127868652344,10.701278686523438
79,31.0,22.583097457885742,-8.416902542114258,23.380569458007812,-7.6194305419921875,39.75144958496094,8.751449584960938
80,30.0,19.197065353393555,-10.802934646606445,19.574058532714844,-10.425941467285156,34.819393157958984,4.819393157958984
81,29.0,21.465600967407227,-7.534399032592773,22.1837100982666,-6.816289901733398,37.35878372192383,8.358783721923828
82,28.0,22.808473587036133,-5.191526412963867,22.371553421020508,-5.628446578979492,40.87395477294922,12.873954772949219
83,27.0,20.43691062927246,-6.563089370727539,21.45269775390625,-5.54730224609375,38.21670913696289,11.21670913696289
84,26.0,14.44628620147705,-11.55371379852295,15.928583145141602,-10.071416854858398,30.937570571899414,4.937570571899414
85,25.0,16.9769229888916,-8.023077011108398,17.885730743408203,-7.114269256591797,30.8050594329834,5.805059432983398
86,24.0,14.499760627746582,-9.500239372253418,16.162670135498047,-7.837329864501953,31.391210556030273,7.391210556030273
87,23.0,10.155230522155762,-12.844769477844238,11.585922241210938,-11.414077758789062,29.21628761291504,6.216287612915039
88,22.0,7.802464485168457,-14.197535514831543,9.18040657043457,-12.81959342956543,29.1715030670166,7.171503067016602
89,21.0,5.604463577270508,-15.395536422729492,7.389494895935059,-13.610505104064941,30.077077865600586,9.077077865600586
90,20.0,8.901906967163086,-11.098093032836914,10.317571640014648,-9.682428359985352,38.22389221191406,18.223892211914062
91,19.0,11.039007186889648,-7.960992813110352,12.036544799804688,-6.9634552001953125,45.53001022338867,26.530010223388672
92,18.0,13.656996726989746,-4.343003273010254,13.704757690429688,-4.2952423095703125,49.71197509765625,31.71197509765625
93,17.0,18.763967514038086,1.763967514038086,12.667441368103027,-4.332558631896973,47.21807098388672,30.21807098388672
94,16.0,9.67569637298584,-6.32430362701416,6.195031642913818,-9.804967880249023,37.89706039428711,21.89706039428711
95,15.0,8.076045989990234,-6.923954010009766,6.464402198791504,-8.535597801208496,37.502010345458984,22.502010345458984
96,14.0,8.207301139831543,-5.792698860168457,6.361089706420898,-7.638910293579102,39.97392654418945,25.973926544189453
97,13.0,5.727930068969727,-7.272069931030273,4.060413360595703,-8.939586639404297,40.680660247802734,27.680660247802734
98,12.0,5.726588726043701,-6.273411273956299,3.1384949684143066,-8.861505508422852,43.02460479736328,31.02460479736328
99,11.0,3.555048942565918,-7.444951057434082,1.2250479459762573,-9.774951934814453,43.102691650390625,32.102691650390625
100,10.0,3.88873291015625,-6.11126708984375,1.6696451902389526,-8.330354690551758,46.318973541259766,36.318973541259766
101,9.0,0.7488394975662231,-8.251160621643066,0.0,-9.0,45.17485427856445,36.17485427856445
102,8.0,0.0,-8.0,0.0,-8.0,40.860042572021484,32.860042572021484
103,7.0,0.0,-7.0,0.0,-7.0,40.8773307800293,33.8773307800293
104,6.0,0.0,-6.0,0.0,-6.0,42.86614990234375,36.86614990234375
105,5.0,0.0,-5.0,0.0,-5.0,47.128379821777344,42.128379821777344
106,4.0,0.0,-4.0,0.0,-4.0,51.50350570678711,47.50350570678711
107,3.0,0.0,-3.0,0.0,-3.0,47.81350326538086,44.81350326538086
108,2.0,0.0,-2.0,0.0,-2.0,40.41498947143555,38.41498947143555
109,1.0,0.0,-1.0,0.0,-1.0,36.46084976196289,35.46084976196289
110,110.0,93.24260711669922,-16.75739288330078,98.53569793701172,-11.464302062988281,107.62156677246094,-2.3784332275390625
111,109.0,90.2887191772461,-18.711280822753906,93.12090301513672,-15.879096984863281,105.76753234863281,-3.2324676513671875
112,108.0,91.42623138427734,-16.573768615722656,93.87431335449219,-14.125686645507812,105.01817321777344,-2.9818267822265625
