,engine,RUL,RUL_se,error_se,RUL_ae,error_ae,RUL_lin_se_3,error_lin_se_3,RUL_lin_se_4,error_lin_se_4,RUL_lin_se_5,error_lin_se_5,RUL_lin_se_6,error_lin_se_6,RUL_lin_lin_0.01_1.0,error_lin_lin_0.01_1.0,RUL_lin_lin_0.05_1.0,error_lin_lin_0.05_1.0,RUL_lin_lin_0.1_1.0,error_lin_lin_0.1_1.0,RUL_lin_lin_0.2_1.0,error_lin_lin_0.2_1.0,RUL_lin_lin_0.3_1.0,error_lin_lin_0.3_1.0,RUL_quad_quad_0.01,error_quad_quad_0.01,RUL_quad_quad_0.03,error_quad_quad_0.03,RUL_quad_quad_0.05,error_quad_quad_0.05,RUL_quad_quad_0.075,error_quad_quad_0.075,RUL_quad_quad_0.1,error_quad_quad_0.1
0,91.0,110.0,66.0014419555664,-43.998558044433594,65.93031311035156,-44.06968688964844,98.7464828491211,-11.253517150878906,94.41553497314453,-15.584465026855469,101.11573791503906,-8.884262084960938,93.62548828125,-16.37451171875,106.50611877441406,-3.4938812255859375,93.3632583618164,-16.636741638183594,94.36614227294922,-15.633857727050781,87.04910278320312,-22.950897216796875,75.87171936035156,-34.12828063964844,92.74372863769531,-17.256271362304688,91.78556060791016,-18.214439392089844,81.92373657226562,-28.076263427734375,87.59496307373047,-22.40503692626953,80.39698028564453,-29.60301971435547
1,91.0,109.0,58.88823699951172,-50.11176300048828,52.096588134765625,-56.903411865234375,98.65974426269531,-10.340255737304688,93.86988830566406,-15.130111694335938,101.19583892822266,-7.804161071777344,93.06118774414062,-15.938812255859375,106.47860717773438,-2.521392822265625,93.33679962158203,-15.663200378417969,94.96153259277344,-14.038467407226562,81.48790740966797,-27.51209259033203,70.85360717773438,-38.146392822265625,92.99687194824219,-16.003128051757812,92.69295501708984,-16.307044982910156,82.5219497680664,-26.478050231933594,82.5999755859375,-26.4000244140625,79.52227020263672,-29.47772979736328
2,91.0,108.0,53.414451599121094,-54.585548400878906,51.84294891357422,-56.15705108642578,98.77745819091797,-9.222541809082031,94.39218139648438,-13.607818603515625,101.22784423828125,-6.77215576171875,92.38812255859375,-15.61187744140625,105.8843994140625,-2.1156005859375,92.64513397216797,-15.354866027832031,95.42570495605469,-12.574295043945312,73.55030059814453,-34.44969940185547,68.85279846191406,-39.14720153808594,92.29840087890625,-15.70159912109375,93.58130645751953,-14.418693542480469,82.86194610595703,-25.13805389404297,78.62677001953125,-29.37322998046875,78.94257354736328,-29.05742645263672
3,91.0,107.0,68.92735290527344,-38.07264709472656,66.22879028320312,-40.771209716796875,101.17941284179688,-5.820587158203125,98.2931900024414,-8.706809997558594,103.19915008544922,-3.8008499145507812,97.02037048339844,-9.979629516601562,107.11632537841797,0.11632537841796875,97.30793762207031,-9.692062377929688,103.81057739257812,-3.189422607421875,84.71492004394531,-22.285079956054688,79.90460968017578,-27.09539031982422,99.39588928222656,-7.6041107177734375,102.63196563720703,-4.368034362792969,89.98015594482422,-17.01984405517578,87.85923767089844,-19.140762329101562,90.08706665039062,-16.912933349609375
4,91.0,106.0,77.01306915283203,-28.98693084716797,75.67205810546875,-30.32794189453125,101.45670318603516,-4.543296813964844,99.68305206298828,-6.316947937011719,103.28401947021484,-2.7159805297851562,97.7944564819336,-8.205543518066406,107.3671875,1.3671875,98.42743682861328,-7.572563171386719,106.17350769042969,0.1735076904296875,89.81131744384766,-16.188682556152344,85.25308227539062,-20.746917724609375,99.73381042480469,-6.2661895751953125,103.83968353271484,-2.1603164672851562,91.66534423828125,-14.33465576171875,91.33644104003906,-14.663558959960938,92.17880249023438,-13.821197509765625
5,91.0,105.0,78.96326446533203,-26.03673553466797,78.25991821289062,-26.740081787109375,100.32505798339844,-4.6749420166015625,98.00838470458984,-6.991615295410156,102.2723388671875,-2.7276611328125,96.41748046875,-8.58251953125,107.07905578613281,2.0790557861328125,97.26273345947266,-7.737266540527344,103.4481201171875,-1.5518798828125,91.46653747558594,-13.533462524414062,85.4100341796875,-19.5899658203125,96.626220703125,-8.373779296875,100.44441986083984,-4.555580139160156,89.71336364746094,-15.286636352539062,92.10087585449219,-12.899124145507812,90.03395080566406,-14.966049194335938
6,91.0,104.0,83.09801483154297,-20.90198516845703,82.08409118652344,-21.915908813476562,101.40869140625,-2.59130859375,99.15074157714844,-4.8492584228515625,103.09402465820312,-0.905975341796875,98.04840087890625,-5.95159912109375,107.71294403076172,3.7129440307617188,98.74735260009766,-5.252647399902344,105.18180847167969,1.1818084716796875,96.40294647216797,-7.597053527832031,89.57174682617188,-14.428253173828125,99.15312957763672,-4.846870422363281,102.04721069335938,-1.952789306640625,90.82823181152344,-13.171768188476562,95.46946716308594,-8.530532836914062,92.84192657470703,-11.158073425292969
7,91.0,103.0,77.27569580078125,-25.72430419921875,79.00624084472656,-23.993759155273438,100.18354034423828,-2.8164596557617188,97.32335662841797,-5.676643371582031,102.22761535644531,-0.7723846435546875,96.04464721679688,-6.955352783203125,106.82535552978516,3.8253555297851562,96.95970153808594,-6.0402984619140625,102.17539978027344,-0.8246002197265625,92.67491912841797,-10.325080871582031,84.74557495117188,-18.254425048828125,96.07846069335938,-6.921539306640625,98.56159973144531,-4.4384002685546875,87.7732162475586,-15.226783752441406,90.46560668945312,-12.534393310546875,88.10489654541016,-14.895103454589844
8,91.0,102.0,67.35204315185547,-34.64795684814453,71.21025848388672,-30.78974151611328,97.67914581298828,-4.320854187011719,93.6650390625,-8.3349609375,100.21498107910156,-1.7850189208984375,91.634033203125,-10.365966796875,105.47161102294922,3.4716110229492188,92.1942367553711,-9.805763244628906,94.28370666503906,-7.7162933349609375,84.18659210205078,-17.81340789794922,74.38518524169922,-27.61481475830078,89.45310974121094,-12.546890258789062,90.71875762939453,-11.281242370605469,81.40699768066406,-20.593002319335938,81.43971252441406,-20.560287475585938,77.7486801147461,-24.251319885253906
9,91.0,101.0,65.48065948486328,-35.51934051513672,65.93232727050781,-35.06767272949219,98.21900939941406,-2.7809906005859375,93.18666076660156,-7.8133392333984375,100.71858978271484,-0.28141021728515625,91.97538757324219,-9.024612426757812,105.86392211914062,4.863922119140625,91.75055694580078,-9.249443054199219,93.41159057617188,-7.588409423828125,82.90430450439453,-18.09569549560547,70.917236328125,-30.082763671875,90.6345443725586,-10.365455627441406,91.2294692993164,-9.770530700683594,81.28469848632812,-19.715301513671875,80.32255554199219,-20.677444458007812,78.22525024414062,-22.774749755859375
